iter	Logloss
0	0.6523632771
1	0.6174865601
2	0.5932409542
3	0.5731560273
4	0.5584222305
5	0.5457254752
6	0.532933051
7	0.5233349485
8	0.5153900874
9	0.5093317402
10	0.5036472857
11	0.4975230207
12	0.4924774074
13	0.4882336301
14	0.4850332781
15	0.4822407487
16	0.4795121603
17	0.4778518385
18	0.4753621374
19	0.4731707065
20	0.4704452762
21	0.4686705596
22	0.4666226259
23	0.4651566702
24	0.463893805
25	0.4627314155
26	0.4617210692
27	0.459645664
28	0.4586123482
29	0.4571137694
30	0.4559458553
31	0.4543983497
32	0.4528709677
33	0.4520425065
34	0.4505006866
35	0.4496957864
36	0.4484904583
37	0.4475707545
38	0.4465336578
39	0.4452923971
40	0.4445467217
41	0.4432925979
42	0.4424622273
43	0.4416764484
44	0.4411697744
45	0.4399152192
46	0.439037401
47	0.4383087558
48	0.4379209494
49	0.4371654401
50	0.4361160379
51	0.4356561354
52	0.4347356192
53	0.4339046086
54	0.433347785
55	0.4324775255
56	0.4316810608
57	0.4303686125
58	0.4290893171
59	0.4282842563
60	0.4272571129
61	0.4267135377
62	0.4259878315
63	0.4250950711
64	0.4245877932
65	0.424117182
66	0.4235115974
67	0.422555037
68	0.4219555321
69	0.4216059683
70	0.4215902351
71	0.4211526854
72	0.4202359289
73	0.4195681889
74	0.4191740349
75	0.4183604141
76	0.4174343107
77	0.4166750542
78	0.4160275268
79	0.4153531615
80	0.4146586678
81	0.414225862
82	0.4135550216
83	0.4131112201
84	0.4118763897
85	0.4112467967
86	0.4105642402
87	0.4099280905
88	0.4089673192
89	0.4083014756
90	0.4079320058
91	0.4068850052
92	0.405729133
93	0.4052733522
94	0.4045216401
95	0.4038825968
96	0.403120753
97	0.4024514141
98	0.4019007074
99	0.4011919757
100	0.4005251482
101	0.399792043
102	0.3989618898
103	0.3984642329
104	0.3979907015
105	0.3972636031
106	0.3961962923
107	0.3955630119
108	0.3946849181
109	0.3937094066
110	0.3932395476
111	0.3926560047
112	0.3922062288
113	0.391769663
114	0.3903656457
115	0.3895142768
116	0.3888329868
117	0.3882404863
118	0.3876776929
119	0.3871830292
120	0.3862475868
121	0.3852085513
122	0.3840209939
123	0.3828036599
124	0.3823652182
125	0.3813390872
126	0.380902814
127	0.3799910505
128	0.3792043468
129	0.3779554372
130	0.3773979651
131	0.3767564171
132	0.3760090288
133	0.3752624438
134	0.374768549
135	0.374461378
136	0.373576307
137	0.3728759294
138	0.3721895856
139	0.371652918
140	0.3710428535
141	0.3703611255
142	0.3697600506
143	0.3693368455
144	0.3687527085
145	0.3678728301
146	0.3675457556
147	0.3672522857
148	0.3665737931
149	0.3656089352
150	0.3649455953
151	0.3644768296
152	0.3638372675
153	0.3630891202
154	0.3622500252
155	0.36152507
156	0.3607796302
157	0.3599658928
158	0.359248038
159	0.3585721838
160	0.3581964924
161	0.3578269878
162	0.3572861054
163	0.3567504936
164	0.3557456903
165	0.3551707101
166	0.3540860474
167	0.3533016353
168	0.3525714707
169	0.3516681119
170	0.3513591862
171	0.3508388479
172	0.3501946602
173	0.3493362244
174	0.3488336101
175	0.348196698
176	0.3477301743
177	0.3470909877
178	0.3465877799
179	0.3455856716
180	0.3448558048
181	0.3442205055
182	0.344016574
183	0.3434242329
184	0.3425810859
185	0.3418068238
186	0.3414781416
187	0.3406296409
188	0.339986773
189	0.3394655829
190	0.3389392833
191	0.3385389415
192	0.3377122431
193	0.3371725884
194	0.3366607144
195	0.3362048414
196	0.3359089005
197	0.3353875666
198	0.3350887836
199	0.3344240699
200	0.3337848558
201	0.3332388406
202	0.3326464919
203	0.3316946472
204	0.3314645176
205	0.3306653378
206	0.3300266484
207	0.3293914607
208	0.3287187433
209	0.3282698888
210	0.327618046
211	0.3267875744
212	0.3265981854
213	0.3261822917
214	0.3258042926
215	0.3252620603
216	0.3246043629
217	0.3240851169
218	0.3234951729
219	0.3231853739
220	0.3226102704
221	0.322006555
222	0.3215423054
223	0.3213875022
224	0.3207836867
225	0.320040722
226	0.3195803415
227	0.3190156353
228	0.3184380719
229	0.3181454285
230	0.3177339082
231	0.3171741733
232	0.3167396701
233	0.3160010078
234	0.3156760446
235	0.3151555036
236	0.3149297971
237	0.3139020605
238	0.3131644032
239	0.3126116479
240	0.3121900542
241	0.3116808292
242	0.311342221
243	0.3109175239
244	0.3106473362
245	0.3101293321
246	0.3099563533
247	0.309498575
248	0.3087461479
249	0.3083604248
250	0.3078053816
251	0.3074945925
252	0.3073033605
253	0.3067585045
254	0.3060193559
255	0.3057587227
256	0.3050952947
257	0.3047000008
258	0.3043055565
259	0.3039878105
260	0.3033333879
261	0.3029762661
262	0.302374518
263	0.3017910173
264	0.3008845073
265	0.3004133595
266	0.2998652236
267	0.2993199066
268	0.2990794316
269	0.2985831103
270	0.2983367637
271	0.2977611528
272	0.2973291757
273	0.2968733132
274	0.2962914408
275	0.2959531735
276	0.2957152826
277	0.2954904275
278	0.2952745914
279	0.2946416695
280	0.2944216538
281	0.29360738
282	0.2933349586
283	0.2925716174
284	0.2919786365
285	0.2917898539
286	0.2912762118
287	0.290725553
288	0.290271824
289	0.289656705
290	0.2891860243
291	0.288737208
292	0.2882407477
293	0.2877334098
294	0.2872453929
295	0.286754303
296	0.2863946472
297	0.2860080742
298	0.2855425997
299	0.2852304005
300	0.2850136796
301	0.2844108542
302	0.2840407269
303	0.2836533873
304	0.2834338575
305	0.2833442976
306	0.2827269802
307	0.28215791
308	0.2818876845
309	0.2815915612
310	0.2813771213
311	0.280972544
312	0.2805759307
313	0.2800373753
314	0.2795808808
315	0.2791486179
316	0.2787413481
317	0.2780742427
318	0.2775950233
319	0.2768929178
320	0.2766007507
321	0.2762839043
322	0.2759588207
323	0.2756107459
324	0.2752454912
325	0.2747578423
326	0.2744647891
327	0.2741001243
328	0.2736566372
329	0.2731549102
330	0.2728080918
331	0.2725627372
332	0.2721954964
333	0.2718979096
334	0.2716741539
335	0.2715138066
336	0.2711858144
337	0.2707759906
338	0.2704216218
339	0.2699386636
340	0.2695789998
341	0.2693240297
342	0.2692478102
343	0.2689198601
344	0.2683387093
345	0.2682102774
346	0.2675446591
347	0.2670301746
348	0.2668007086
349	0.2664234061
350	0.2662296557
351	0.265796892
352	0.2651936342
353	0.2647552366
354	0.2645527139
355	0.2642861009
356	0.2639669433
357	0.2635236394
358	0.2633207911
359	0.2629284742
360	0.2624380517
361	0.2621099758
362	0.2616878961
363	0.2612704645
364	0.2608321126
365	0.2604514958
366	0.2600743591
367	0.2596147402
368	0.2593080417
369	0.2590173851
370	0.2586380996
371	0.2582516913
372	0.2578769144
373	0.2576936861
374	0.2575475633
375	0.257367781
376	0.2571096221
377	0.2566858368
378	0.2563222323
379	0.2559893114
380	0.2557519195
381	0.2553634034
382	0.2549771216
383	0.2546863713
384	0.254280676
385	0.2536444121
386	0.2534016861
387	0.2532171304
388	0.2528567411
389	0.2524108718
390	0.2522735873
391	0.2521298121
392	0.2517586216
393	0.2512075709
394	0.2508372666
395	0.2506130141
396	0.2501664574
397	0.2497998598
398	0.2494503887
399	0.249071177
400	0.2487381841
401	0.2481701276
402	0.247820361
403	0.2473647099
404	0.2468321539
405	0.2465397569
406	0.2463710687
407	0.2458637176
408	0.2456447265
409	0.2453616743
410	0.2449844748
411	0.2445878799
412	0.2440886143
413	0.2437226647
414	0.2435670368
415	0.2432940391
416	0.2429499677
417	0.2427000072
418	0.2424604801
419	0.2420249731
420	0.2416311807
421	0.241214252
422	0.2409997869
423	0.2404606984
424	0.2403039686
425	0.2400402281
426	0.2395722976
427	0.2389615459
428	0.2386892981
429	0.238375472
430	0.2381679325
431	0.2378392375
432	0.2373919804
433	0.2371699963
434	0.2370101746
435	0.2368154542
436	0.2364496296
437	0.2363634702
438	0.2361230868
439	0.2358600579
440	0.2357104466
441	0.2351745398
442	0.2348900145
443	0.2344977337
444	0.2343502074
445	0.2340475486
446	0.2338821997
447	0.2335801872
448	0.2332682788
449	0.2327524254
450	0.232511185
451	0.2319976503
452	0.2315585194
453	0.2312932005
454	0.2308782666
455	0.2306461714
456	0.230380794
457	0.2299251821
458	0.229597669
459	0.229339638
460	0.2290464035
461	0.2288227927
462	0.2285476233
463	0.2283674156
464	0.2281362071
465	0.2279029717
466	0.2277037695
467	0.2274236924
468	0.2270526944
469	0.226644426
470	0.2264038145
471	0.2260935949
472	0.2257645796
473	0.225425452
474	0.225311099
475	0.2251582263
476	0.2249319432
477	0.2246413557
478	0.2244249526
479	0.2240638819
480	0.2238957885
481	0.2235482333
482	0.2231373975
483	0.2227503088
484	0.2224247798
485	0.2221641795
486	0.2219044428
487	0.2217397657
488	0.2215544217
489	0.2210984412
490	0.2209861039
491	0.2205383501
492	0.2202507558
493	0.2200361214
494	0.2196630723
495	0.2192930512
496	0.2191947094
497	0.2186875441
498	0.2183143437
499	0.2182125422
