Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
XGBoost,0.7686302342086586,0.5495867768595041,0.7112299465240641,0.62004662004662,0.8256025730450283
CatBoost,0.7608232789212207,0.5372233400402414,0.713903743315508,0.6130884041331802,0.8304748249761038
